,link,id,rating,popularity
0,http://rozetka.com.ua/samsung_galaxy_j7_ds_black/p3818722/#tab=characteristics,0,0,5
1,http://rozetka.com.ua/huawei_y5_ii_gold_lifecell/p12657227/#tab=characteristics,1,1,11
2,http://rozetka.com.ua/samsung_sm_j320hzkdsek/p7646250/#tab=characteristics,2,2,8
3,http://rozetka.com.ua/blackview_omega_pro_pw_eu/p10554415/#tab=characteristics,3,3,13
4,http://rozetka.com.ua/htc_desire_628_dual_sim_dark_blue/p12139674/#tab=characteristics,4,4,30
5,http://rozetka.com.ua/lenovo_k5_plus_sl/p7321210/#tab=characteristics,5,5,70
6,http://rozetka.com.ua/sony_xperia_x_dual_black/p7323250/#tab=characteristics,6,6,133
7,http://rozetka.com.ua/samsung_galaxy_j1_2016_sm_j120h_black/p7070889/#tab=characteristics,7,7,7
8,http://rozetka.com.ua/huawei_gr5_grey/p6976638/#tab=characteristics,8,8,172
9,http://rozetka.com.ua/zte_axon7_grey/p11891839/#tab=characteristics,9,9,198
10,http://rozetka.com.ua/samsung_sm_j710fzwusek/p9141693/#tab=characteristics,10,10,43
11,http://rozetka.com.ua/blackview_a5_black/p12323558/#tab=characteristics,11,11,181
12,http://rozetka.com.ua/samsung_galaxy_a5_2016_duos_sm_a510_16gb_white/p6732478/#tab=characteristics,12,12,65
13,http://rozetka.com.ua/prestigio_psp7530duogrey/p10757072/#tab=characteristics,13,13,4
14,http://rozetka.com.ua/lenovo_vibe_p1m_white/p4772480/#tab=characteristics,14,14,64
15,http://rozetka.com.ua/huawei_y3_ii_gold/p10730339/#tab=characteristics,15,15,34
16,http://rozetka.com.ua/lenovo_k5_gg/p9140776/#tab=characteristics,16,16,56
17,http://rozetka.com.ua/meizu_m2_16gb_wh_world/p6675387/#tab=characteristics,17,17,0
18,http://rozetka.com.ua/lg_x_power_k220ds_black/p11032487/#tab=characteristics,18,18,63
19,http://rozetka.com.ua/microsoft_lumia_650_dual_sim_white/p7245166/#tab=characteristics,19,19,111
20,http://rozetka.com.ua/zte_blade_v7_lite_gold/p11885308/#tab=characteristics,20,20,31
21,http://rozetka.com.ua/pixus_hit_2/p10700645/#tab=characteristics,21,21,6
22,http://rozetka.com.ua/huawei_y6_pro_gd/p8110112/#tab=characteristics,22,22,42
23,http://rozetka.com.ua/lenovo_pa530181ua/p12088049/#tab=characteristics,23,23,24
24,http://rozetka.com.ua/apple_iphone_7_32gb_gold/p11256403/#tab=characteristics,24,24,62
25,http://rozetka.com.ua/lenovo_pa4n0007ua/p12087055/#tab=characteristics,25,25,18
26,http://rozetka.com.ua/motorola_sm4389e7u1/p12049360/#tab=characteristics,26,26,17
27,http://rozetka.com.ua/htc_desire_526g_dual_sim_black/p2660692/#tab=characteristics,27,27,14
28,http://rozetka.com.ua/doogge_y300_black/p9205977/#tab=characteristics,28,28,177
29,http://rozetka.com.ua/lg_x210ds_acisku/p7657877/#tab=characteristics,29,29,38
30,http://rozetka.com.ua/sony_xperia_xa_dual_black/p9307764/#tab=characteristics,30,30,150
31,http://rozetka.com.ua/xiaomi_redmi_3_pr_16gb_gd/p10189176/#tab=characteristics,31,31,199
32,http://rozetka.com.ua/htc_10_lifestyle_carbon_gray/p9196072/#tab=characteristics,32,32,169
33,http://rozetka.com.ua/motorola_sm4425ae7u1/p12052265/#tab=characteristics,33,33,16
34,http://rozetka.com.ua/huawei_p9_prestige_gold/p9314932/#tab=characteristics,34,34,19
35,http://rozetka.com.ua/samsung_galaxy_s7_32gb_silver/p7275898/#tab=characteristics,35,35,20
36,http://rozetka.com.ua/huawei_p9_lite_gold/p12286429/#tab=characteristics,36,36,21
37,http://rozetka.com.ua/philips_xenium_x81_dual_sim_champagne/p12655841/#tab=characteristics,37,37,22
38,http://rozetka.com.ua/motorola_sm4377ad1k7/p9859812/#tab=characteristics,38,38,23
39,http://rozetka.com.ua/tp_link_neffos_c5_max_dark_grey/p8711340/#tab=characteristics,39,39,25
40,http://rozetka.com.ua/zte_blade_v7_grey/p11885784/#tab=characteristics,40,40,26
41,http://rozetka.com.ua/lenovo_vibe_k5_note_pro_gray/p10608581/#tab=characteristics,41,41,27
42,http://rozetka.com.ua/assistant_as_6431_rider_black/p9983866/#tab=characteristics,42,42,28
43,http://rozetka.com.ua/xiaomi_redmi_3s_sl/p10026384/#tab=characteristics,43,43,170
44,http://rozetka.com.ua/htc_desire_630_dual_sim_dark_grey/p9711069/#tab=characteristics,44,44,29
45,http://rozetka.com.ua/htc_desire_820g_dual_sim_m_white_gl/p9716732/#tab=characteristics,45,45,171
46,http://rozetka.com.ua/astro_s450_rx_bk_orng/p7655511/#tab=characteristics,46,46,32
47,http://rozetka.com.ua/zte_blade_a601_gold/p11881997/#tab=characteristics,47,47,33
48,http://rozetka.com.ua/doogge_x5_max_pro_black/p10489462/#tab=characteristics,48,48,1
49,http://rozetka.com.ua/samsung_galaxy_j2_prime_ds_black/p12223338/#tab=characteristics,49,49,173
50,http://rozetka.com.ua/xiaomi_redmi_3x_silver_euro/p11951003/#tab=characteristics,50,50,174
51,http://rozetka.com.ua/zte_blade_a510_red/p11881521/#tab=characteristics,51,51,35
52,http://rozetka.com.ua/motorola_sm4372ae7k7/p9858713/#tab=characteristics,52,52,36
53,http://rozetka.com.ua/zte_blade_l5_plus_black/p11876124/#tab=characteristics,53,53,37
54,http://rozetka.com.ua/asus_zenfone_3_max_zc520tl_gold/p12264337/#tab=characteristics,54,54,39
55,http://rozetka.com.ua/prestigio_grace_r7_7501_duo_gold/p12483606/#tab=characteristics,55,55,40
56,http://rozetka.com.ua/samsung_sm_j200hzkdsek/p10235761/#tab=characteristics,56,56,175
57,http://rozetka.com.ua/samsung_galaxy_j5_prime_ds_gold/p12206433/#tab=characteristics,57,57,176
58,http://rozetka.com.ua/prestigio_psp5506duo/p8535304/#tab=characteristics,58,58,41
59,http://rozetka.com.ua/pixus_hit_white/p12536239/#tab=characteristics,59,59,44
60,http://rozetka.com.ua/lenovo_a1000m_black/p9854961/#tab=characteristics,60,60,45
61,http://rozetka.com.ua/bravis_a503_joy_black/p12141389/#tab=characteristics,61,61,46
62,http://rozetka.com.ua/umi_rome_x_8gb_black/p12245731/#tab=characteristics,62,62,47
63,http://rozetka.com.ua/samsung_galaxy_j5_ds_black/p3818036/#tab=characteristics,63,63,9
64,http://rozetka.com.ua/lenovo_c2_k10a40_black/p9855626/#tab=characteristics,64,64,48
65,http://rozetka.com.ua/motorola_sm4365ad1k7/p7780314/#tab=characteristics,65,65,49
66,http://rozetka.com.ua/lenovo_a1010a20_black/p11245840/#tab=characteristics,66,66,10
67,http://rozetka.com.ua/archos_45b_neon_black/p11971989/#tab=characteristics,67,67,50
68,http://rozetka.com.ua/lenovo_vibe_c_black/p8093599/#tab=characteristics,68,68,51
69,http://rozetka.com.ua/apple_iphone_7_plus_32gb_rose_gold/p11256690/#tab=characteristics,69,69,52
70,http://rozetka.com.ua/fly_fs454_nimbus_8_black/p11030520/#tab=characteristics,70,70,53
71,http://rozetka.com.ua/zte_blade_a610_grey/p11673582/#tab=characteristics,71,71,54
72,http://rozetka.com.ua/xiaomi_mi_note_316gb_wh_eu/p12547768/#tab=characteristics,72,72,178
73,http://rozetka.com.ua/oukitel_k6000_pro_wh_eu/p12146310/#tab=characteristics,73,73,12
74,http://rozetka.com.ua/assistant_as_5431/p7069134/#tab=characteristics,74,74,55
75,http://rozetka.com.ua/samsung_sm_j510hzddsek/p9142037/#tab=characteristics,75,75,57
76,http://rozetka.com.ua/prestigio_3530_muze_d3_black/p5941095/#tab=characteristics,76,76,58
77,http://rozetka.com.ua/assistant_as_4421/p11013342/#tab=characteristics,77,77,59
78,http://rozetka.com.ua/blackview_e7s_grey_euro/p12642905/#tab=characteristics,78,78,179
79,http://rozetka.com.ua/samsung_galaxy_a3_2017_duos_sm_a320_16gb_black/p13214775/#tab=characteristics,79,79,60
80,http://rozetka.com.ua/meizu_m3_note_32_gr_eu/p12383324/#tab=characteristics,80,80,2
81,http://rozetka.com.ua/microsoft_lumia_550_black/p5206532/#tab=characteristics,81,81,61
82,http://rozetka.com.ua/assistant_as_5411_gold/p13290433/#tab=characteristics,82,82,153
83,http://rozetka.com.ua/meizu_u10_16_black/p12318280/#tab=characteristics,83,83,180
84,http://rozetka.com.ua/apple_iphone_6s_128gb_gold/p4699443/#tab=characteristics,84,84,66
85,http://rozetka.com.ua/meizu_m3e_32_gr_eu/p12721753/#tab=characteristics,85,85,182
86,http://rozetka.com.ua/meizu_m3_note_16_gr_eu/p9859672/#tab=characteristics,86,86,183
87,http://rozetka.com.ua/fly_fs505_nimbus_7_black/p11030856/#tab=characteristics,87,87,184
88,http://rozetka.com.ua/sony_xperia_t2_ultra_dual_white/p526685/#tab=characteristics,88,88,67
89,http://rozetka.com.ua/huawei_y6_ii_gold/p9961270/#tab=characteristics,89,89,68
90,http://rozetka.com.ua/xiaomi_redmi_note4_2_16_gd_eu/p12149481/#tab=characteristics,90,90,185
91,http://rozetka.com.ua/astro_s500_rx_bk/p7652648/#tab=characteristics,91,91,69
92,http://rozetka.com.ua/sony_xperia_xz_f8332_dual_sim_platinum/p11117551/#tab=characteristics,92,92,186
93,http://rozetka.com.ua/xiaomi_redmi_4_2_16_gd_eu/p12544863/#tab=characteristics,93,93,187
94,http://rozetka.com.ua/assistant_as_5412_gold/p13290447/#tab=characteristics,94,94,154
95,http://rozetka.com.ua/doogge_6924351601812/p12375729/#tab=characteristics,95,95,302
96,http://rozetka.com.ua/apple_iphone_7_plus_256gb_rose_gold/p11256795/#tab=characteristics,96,96,71
97,http://rozetka.com.ua/archos_diamond_plus/p7883389/#tab=characteristics,97,97,72
98,http://rozetka.com.ua/alcatel_4034d_volcano_black/p12212642/#tab=characteristics,98,98,188
99,http://rozetka.com.ua/apple_iphone_6s_32gb_gold/p12136244/#tab=characteristics,99,99,73
100,http://rozetka.com.ua/lg_lgx220ds_aciskt/p8204729/#tab=characteristics,100,100,74
101,http://rozetka.com.ua/alcatel_4024d_grey/p5854053/#tab=characteristics,101,101,189
102,http://rozetka.com.ua/lenovo_a1000_black/p4250699/#tab=characteristics,102,102,75
103,http://rozetka.com.ua/apple_iphone_7_plus_128gb_jet_black/p11246239/#tab=characteristics,103,103,76
104,http://rozetka.com.ua/fly_fs504_cirrus_2_wh/p10182498/#tab=characteristics,104,104,77
105,http://rozetka.com.ua/lenovo_pa570065ua/p12094384/#tab=characteristics,105,105,78
106,http://rozetka.com.ua/doogge_6924351603410/p12679529/#tab=characteristics,106,106,190
107,http://rozetka.com.ua/oukitel_k4000_lite_wh_eu/p12548776/#tab=characteristics,107,107,191
108,http://rozetka.com.ua/lenovo_vibe_p1_pro_graphite_grey/p9651786/#tab=characteristics,108,108,79
109,http://rozetka.com.ua/fly_fs407_stratus_6_white/p13640160/#tab=characteristics,109,109,155
110,http://rozetka.com.ua/prestigio_psp3508duo_yellow/p13678499/#tab=characteristics,110,110,192
111,http://rozetka.com.ua/prestigio_psp3525duiblack/p13679010/#tab=characteristics,111,111,156
112,http://rozetka.com.ua/ergo_a551_sky_4g_dual_sim_dark_blue/p13683763/#tab=characteristics,112,112,157
113,http://rozetka.com.ua/ergo_a502_aurum_dual_sim_black/p13686927/#tab=characteristics,113,113,158
114,http://rozetka.com.ua/sigma_xtreme_pq27_black_silver/p13702348/#tab=characteristics,114,114,193
115,http://rozetka.com.ua/xiaomi_redmi_3_32gb_gr_roz/p13710923/#tab=characteristics,115,115,194
116,http://rozetka.com.ua/xiaomi_redmi_4a_2_16_gd_roz/p13710979/#tab=characteristics,116,116,3
117,http://rozetka.com.ua/huawei_51090pwt/p10018355/#tab=characteristics,117,117,80
118,http://rozetka.com.ua/meizu_m5_332_gd_eu/p12550099/#tab=characteristics,118,118,195
119,http://rozetka.com.ua/huawei_nova_grey/p12424701/#tab=characteristics,119,119,81
120,http://rozetka.com.ua/oukitel_c3_wh_eu/p12144875/#tab=characteristics,120,120,196
121,http://rozetka.com.ua/meizu_u10_32_black/p12318609/#tab=characteristics,121,121,197
122,http://rozetka.com.ua/asus_zd551kl_1b446ww/p7722284/#tab=characteristics,122,122,82
123,http://rozetka.com.ua/motorola_pa5d0057ua/p13744257/#tab=characteristics,123,123,159
